,id,anchor,target,context,score,input
66,89f5d02f1f35a796,abnormal position,tip data,B23,0.25,abnormal position
67,6e89c332c3bc6310,abnormal position,tip information,B23,0.25,abnormal position
68,7ce7ec17ae212bfd,abnormal position,wear data,B23,0.25,abnormal position
69,a3d868244b35909c,abnormal position,angular position,B41,0.25,abnormal position
70,9c0105f34aedca0d,abnormal position,positions,B41,0.5,abnormal position
71,86f51d5b4f88f1c9,abnormal position,abnormal breathing,D03,0.0,abnormal position
72,3c23fa5c3894d9f2,abnormal position,abnormal manner,D03,0.5,abnormal position
73,80126fcecd1c57c9,abnormal position,abnormal placement,D03,0.75,abnormal position
74,0ff1349355ce5b66,abnormal position,abnormal posture,D03,0.75,abnormal position
75,cf244c76da9b3383,abnormal position,abnormal profit,D03,0.0,abnormal position
76,3e410ad7a4a355ff,abnormal position,abnormal side,D03,0.75,abnormal position
77,ba4ffdf9c7abdd05,abnormal position,anomaly scan,D03,0.0,abnormal position
78,6756c97d8e854f4e,abnormal position,depression,D03,0.25,abnormal position
79,bbb1ad23807f952a,abnormal position,deviated from,D03,0.25,abnormal position
80,f13ef1f56df101a5,abnormal position,engagement,D03,0.25,abnormal position
81,3db26a1f4e165795,abnormal position,implant positioning,D03,0.0,abnormal position
82,24257e1b2f5ff283,abnormal position,irregular configuration,D03,0.5,abnormal position
83,4f8d18e7ee6f98e9,abnormal position,locked position,D03,0.5,abnormal position
84,7e1e95ee1391c3c7,abnormal position,locked relationship,D03,0.25,abnormal position
85,9c1bdf2239b0e910,abnormal position,normal position,D03,0.25,abnormal position
86,29de10bbd3f15b11,abnormal position,odd position,D03,0.75,abnormal position
87,57a026611dddb7b9,abnormal position,place,D03,0.25,abnormal position
88,8fb46bccf1c86c33,abnormal position,position,D03,0.25,abnormal position
89,7b16ec4481a25536,abnormal position,position isomerism,D03,0.0,abnormal position
90,115dcdbc38948359,abnormal position,position vector,D03,0.0,abnormal position
91,0e8238c34746f7c4,abnormal position,rare placement,D03,0.25,abnormal position
92,1ae1c093187e3b73,abnormal position,recess,D03,0.0,abnormal position
93,fe30aa28e8d0563a,abnormal position,relative position,D03,0.5,abnormal position
94,ea12e2954b85c599,abnormal position,relative relationship,D03,0.25,abnormal position
95,4285cdf2221cc6d5,abnormal position,situation,D03,0.25,abnormal position
96,f6b53890ef57f9c5,abnormal position,unexpected position,D03,0.75,abnormal position
97,414373bc5329e819,abnormal position,unison,D03,0.0,abnormal position
98,d2304657a1e12333,abnormal position,unusal arrangement,D03,0.5,abnormal position
99,c4b30e7b8e853b87,abnormal position,unusual manner,D03,0.25,abnormal position
100,d32b4f6cdf710e0a,abnormal position,abnormal,E03,0.5,abnormal position
101,20d74695a08952db,abnormal position,abnormal condition,E03,0.75,abnormal position
102,f8a028167a0aad23,abnormal position,abnormal molar mass,E03,0.0,abnormal position
103,eb44d02ca330b2b5,abnormal position,abnormal presentations,E03,0.75,abnormal position
104,dccdd9c697602fad,abnormal position,abnormal psychology,E03,0.0,abnormal position
105,38f53c8ab704b32b,abnormal position,abnormality state,E03,0.75,abnormal position
106,44eaeb8410af02e2,abnormal position,axial position,E03,0.5,abnormal position
107,428f5e687590e685,abnormal position,elevation,E03,0.25,abnormal position
108,2b58116bbba1bef5,abnormal position,emergency condition,E03,0.5,abnormal position
109,52c33ea0c24771a1,abnormal position,emergency position,E03,0.75,abnormal position
110,852386d786c57f73,abnormal position,extent,E03,0.25,abnormal position
111,6de822045200c01a,abnormal position,facing forward,E03,0.75,abnormal position
112,2908fae62ececec1,abnormal position,failure,E03,0.25,abnormal position
113,bc109cbe2441d87e,abnormal position,fault position,E03,0.75,abnormal position
114,2db04a5863b16cdd,abnormal position,fixed failure,E03,0.5,abnormal position
115,8d8926dbdfc1568e,abnormal position,forward axis,E03,0.0,abnormal position
116,99eb846e7f7fdbd6,abnormal position,hardware abnormality,E03,0.5,abnormal position
117,edd7a8b70dc94f43,abnormal position,hardware manufacturer,E03,0.0,abnormal position
118,6e37e1f0890a81b2,abnormal position,inoperative position,E03,0.5,abnormal position
119,7e2874e997cf0e2b,abnormal position,leakage,E03,0.25,abnormal position
120,48c4b666af6f1f58,abnormal position,normal position,E03,0.25,abnormal position
121,afab4895708915b8,abnormal position,open position,E03,0.5,abnormal position
122,75ac4f9a57e95ec8,abnormal position,operating abnormality,E03,0.5,abnormal position
123,36b50348c1172fc2,abnormal position,operative position,E03,0.5,abnormal position
124,25442153418d7486,abnormal position,overflow,E03,0.25,abnormal position
125,5a291d8d5bd8bd6b,abnormal position,position vector,E03,0.0,abnormal position
126,0eec7490003c075a,abnormal position,state name,E03,0.0,abnormal position
127,f3d68ae77bb19226,abnormal position,unusual position,E03,0.75,abnormal position
128,ae1a01517b6386fc,abnormal position,unusual state,E03,0.25,abnormal position
129,a21de05326bbadb8,abnormal position,upper position,E03,0.5,abnormal position
130,58e4f0268a24af9b,abnormal position,warning,E03,0.25,abnormal position
131,76baf8ed4ae57ec1,absorbent properties,adsorbent properties,C08,0.5,absorbent properties
132,fc03dad16ee7e5fb,absorbent properties,cao,C08,0.25,absorbent properties
133,094f2535b2f03691,absorbent properties,characterization,C08,0.25,absorbent properties
134,0b34da85b33b4126,absorbent properties,collateral properties,C08,0.0,absorbent properties
135,82d4d3492122a3a3,absorbent properties,colligative properties,C08,0.0,absorbent properties
136,3f0330f3344be46f,absorbent properties,conformational properties,C08,0.25,absorbent properties
137,1c506d121cb6194b,absorbent properties,dehumidifying properties,C08,0.5,absorbent properties
138,92931b055ee01fd5,absorbent properties,elastomeric properties,C08,0.0,absorbent properties
139,84a195425e7f34d4,absorbent properties,evaporated salt,C08,0.25,absorbent properties
140,1c330c48a33e82b4,absorbent properties,fluorescent properties,C08,0.0,absorbent properties
141,f7832078c30df1f5,absorbent properties,geometrical properties,C08,0.0,absorbent properties
142,0e754b806271178a,absorbent properties,housing properties,C08,0.0,absorbent properties
143,b794d431cea707b3,absorbent properties,hygroscopic,C08,0.5,absorbent properties
144,bf1222d93e59ceca,absorbent properties,hygroscopic properties,C08,0.5,absorbent properties
145,16479a99b5c37673,absorbent properties,ionic compound,C08,0.25,absorbent properties
146,ec050b5360ebba22,absorbent properties,liquid holding capacity,C08,0.5,absorbent properties
147,0eba34ed68ed88b8,absorbent properties,mechanical characteristics,C08,0.25,absorbent properties
148,ef8a6631ccd28df0,absorbent properties,mechanical properties,C08,0.25,absorbent properties
149,7b42f808e08c68b2,absorbent properties,moisture barrier properties,C08,0.5,absorbent properties
150,71ac9fcb07aaec6e,absorbent properties,moisture proof properties,C08,0.5,absorbent properties
151,2cb4f15e5861ea51,absorbent properties,nacl,C08,0.25,absorbent properties
152,762621349ef66ca1,absorbent properties,naoh,C08,0.25,absorbent properties
153,750c20ea1b72078e,absorbent properties,physical properties,C08,0.25,absorbent properties
154,288310ffbde6450d,absorbent properties,properties,C08,0.25,absorbent properties
155,8201115f67ded668,absorbent properties,reusable salt,C08,0.25,absorbent properties
156,437a29c073ccf68e,absorbent properties,soaking properties,C08,0.75,absorbent properties
157,661d7d1d8807fa6b,absorbent properties,absorbency,D01,0.75,absorbent properties
158,621b048d70aa8867,absorbent properties,absorbent characteristics,D01,1.0,absorbent properties
159,96f015d748e1333a,absorbent properties,absorbing polymer,D01,0.5,absorbent properties
160,e6f92889099fd908,absorbent properties,absorption characteristics,D01,0.75,absorbent properties
161,bc20a1c961cb073a,absorbent properties,absorption properties,D01,1.0,absorbent properties
162,8a33a8c962cf36f1,absorbent properties,adsorbent properties,D01,0.5,absorbent properties
163,718bd7b5b416af38,absorbent properties,adsorption performance,D01,0.5,absorbent properties
164,9e04e83b91c5a26d,absorbent properties,capable of absorbing,D01,0.5,absorbent properties
165,7fb7109c1cb77c32,absorbent properties,characteristic,D01,0.25,absorbent properties
166,e0e1ca90a19d93ce,absorbent properties,desiccant,D01,0.25,absorbent properties
167,c3a71343cdd163f3,absorbent properties,dielectric properties,D01,0.0,absorbent properties
168,9b4be6865a6a7d88,absorbent properties,food absorption,D01,0.0,absorbent properties
169,4aceb34c827489b2,absorbent properties,mechanical properties,D01,0.25,absorbent properties
170,9dd002fa5c1ab0b3,absorbent properties,mechanical resistance,D01,0.25,absorbent properties
171,bf87a44a7ef7986f,absorbent properties,metal properties,D01,0.0,absorbent properties
172,4e2321fa76cac0c1,absorbent properties,moisture,D01,0.25,absorbent properties
173,6985fcc0a72d6efc,absorbent properties,optical properties,D01,0.0,absorbent properties
174,49c355296f89e42e,absorbent properties,performance,D01,0.25,absorbent properties
175,d79f949f5e767ed8,absorbent properties,physical properties,D01,0.5,absorbent properties
176,7f71cfa3cfd274c3,absorbent properties,physical resistance,D01,0.25,absorbent properties
177,4c5430e37544ca9f,absorbent properties,physiological properties,D01,0.0,absorbent properties
178,86c37efbf9add8b4,absorbent properties,plastic properties,D01,0.0,absorbent properties
179,0c95ec8908cac866,absorbent properties,polymer,D01,0.25,absorbent properties
180,028faac1cefe4f7d,absorbent properties,properties,D01,0.5,absorbent properties
181,ddd36c73b9ece884,absorbent properties,samples,D01,0.25,absorbent properties
182,6db7ef8d8421bcac,absorbent properties,soaking,D01,0.5,absorbent properties
183,ee015d21956c9d4d,absorbent properties,soaking properties,D01,0.75,absorbent properties
184,ba7e30f46cf2e34b,absorbent properties,sponge,D01,0.25,absorbent properties
185,da7052634b294dbb,absorbent properties,water,D01,0.25,absorbent properties
186,c068f3a417547e96,absorbent properties,water penetration capacity,D01,0.75,absorbent properties
187,f9a985b9e1772f8f,absorbent properties,amount,D21,0.25,absorbent properties
188,895794bda535b343,absorbent properties,formation,D21,0.25,absorbent properties
189,3608a96d8c6d4ecb,absorbent properties,strength,D21,0.25,absorbent properties
190,7606c6fa59a125f8,acan,aggrecan core protein,C07,0.75,acan
191,f7b25dd02c06f8d0,acan,aggrecan core protein precursor,C07,0.75,acan
192,50a44303d260f1fc,acan,cartilage extracellular matrix,C07,0.25,acan
193,b4a7556ad626f0bc,acan,cartilage specific proteoglycan core protein,C07,0.75,acan
194,00a1e5f0484ca4c1,acan,chondroitin sulfate proteoglycan 1,C07,0.75,acan
195,199f0b8833011e49,acan,coding language,C07,0.0,acan
196,60a4c191bdccff4f,acan,coding languages,C07,0.0,acan
197,dc29c774e92b0b65,acan,coding programming,C07,0.0,acan
198,f524d90c3d85bdeb,acan,core strength,C07,0.0,acan
199,cb1cd1f70f89ecf0,acan,gene,C07,0.25,acan
200,526e7b2433cfa5da,acan,genes,C07,0.25,acan
201,8a5573ec16949f4b,acan,hyalectans,C07,0.5,acan
202,1cf08c7f43cfd1b0,acan,large aggregating proteoglycan,C07,0.75,acan
203,5c70e4760d8d8ff4,acan,lecticans,C07,0.5,acan
204,2d7f1b3ea74e2c38,acan,machine learning,C07,0.0,acan
205,a6dee66427c6fb90,acan,neural network,C07,0.0,acan
206,8726542c434bd282,acan,precursor,C07,0.25,acan
207,c8527b0605b19db1,acan,protein,C07,0.25,acan
208,913e2562771cbb0c,acan,protein coding gene,C07,0.5,acan
209,8f5ece74ab9299eb,acan,proteins,C07,0.25,acan
210,ba0d2831300d9b37,acan,proteoglycans,C07,0.25,acan
211,ee26739c23fefe2b,acan,sox,C07,0.25,acan
212,7ba63f8f90f24670,acan,tissue expression,C07,0.25,acan
213,e6d6b1713f4b3a3e,accept information,accept the establishment,A45,0.0,accept information
214,1b9e8b4b43d11ca6,accept information,accept this information,A45,0.75,accept information
215,f463e4e26cb4c3d6,accept information,acceptance angle,A45,0.0,accept information
216,c94e7b08d9402064,accept information,accepting information from,A45,0.75,accept information
217,0c9325df3a6dde0a,accept information,approve information,A45,0.5,accept information
218,a617e96ffd84f668,accept information,authorization of information,A45,0.5,accept information
219,9139cc91e466bc1c,accept information,behaviour information analysis,A45,0.0,accept information
220,d5cebe572de28ec9,accept information,contain information,A45,0.5,accept information
221,2f27415964b30abb,accept information,contain items,A45,0.25,accept information
222,6f1f9a291daa2d78,accept information,data accepted,A45,0.5,accept information
223,1b4d79c285ba330b,accept information,data set,A45,0.25,accept information
224,df6de3890013e7a6,accept information,display,A45,0.25,accept information
225,2771e4ab047a52f8,accept information,display a data,A45,0.25,accept information
226,d9628d2cbc2d20df,accept information,display a information,A45,0.5,accept information
227,8d4e33dff5418e62,accept information,display an information,A45,0.5,accept information
228,a9aef9cb5ef22537,accept information,display data,A45,0.25,accept information
229,e9ce0059e0db62e9,accept information,display information,A45,0.5,accept information
230,7868f55cb35297ab,accept information,indicate a data,A45,0.25,accept information
231,75974d6019242c17,accept information,indicate data,A45,0.25,accept information
232,8658715eab34a30b,accept information,indicate information,A45,0.5,accept information
233,dcbf5eb733ce6b7a,accept information,informal letter,A45,0.0,accept information
234,09f623895803d55a,accept information,information,A45,0.5,accept information
235,e865c688d8198872,accept information,information data,A45,0.25,accept information
236,5ea3fa4f9aa2e4e6,accept information,information processing apparatus,A45,0.25,accept information
237,481dd9137a1021a2,accept information,information storage,A45,0.25,accept information
238,f4bf99c180c8b41e,accept information,information value,A45,0.25,accept information
239,1399d5ede123e907,accept information,price he or she accepts,A45,0.0,accept information
240,cfe4a53278917f5b,accept information,receiving information,A45,0.5,accept information
241,b36d81ddf0791a98,accept information,sanction information,A45,0.5,accept information
242,0bf7a68130117d92,accept information,third option to accept,A45,0.0,accept information
243,d47638cfa77bc4aa,accept information,transaction information,A45,0.25,accept information
244,4994def77e2b9e7f,accept information,undertake information,A45,0.5,accept information
245,a937ae580ea4bd97,achieve authentication,achieve access,H04,0.75,achieve authentication
246,ea154b802bebc48a,achieve authentication,achieve authentication accuracy,H04,0.5,achieve authentication
247,24eda11bf0665917,achieve authentication,achieve authorization,H04,0.75,achieve authentication
248,14c027729175aedd,achieve authentication,achieve goal,H04,0.0,achieve authentication
249,6553f33ff35f0e58,achieve authentication,achieve goals,H04,0.0,achieve authentication
250,76a67059397b6ab4,achieve authentication,achieve local authentication,H04,0.5,achieve authentication
251,b1f6c5153065d1f4,achieve authentication,achieve mutual authentication,H04,0.5,achieve authentication
252,8f503153606f57ba,achieve authentication,achieve success,H04,0.0,achieve authentication
253,c48fe27988cb335a,achieve authentication,achieve target,H04,0.0,achieve authentication
254,0d40fb13a68069f1,achieve authentication,achieve the authentication requirement,H04,0.75,achieve authentication
255,7a33ea9b3475af14,achieve authentication,achieve verification,H04,0.75,achieve authentication
256,d2088cdd8be8761b,achieve authentication,biometric,H04,0.25,achieve authentication
257,804ab9af5a8550f6,achieve authentication,denial of authorization,H04,0.25,achieve authentication
258,a9517b7094b76f0c,achieve authentication,denied access,H04,0.25,achieve authentication
259,86a215a06817e866,achieve authentication,encryption,H04,0.5,achieve authentication
260,63ae5e20e8e310dd,achieve authentication,failed authorization request,H04,0.25,achieve authentication
261,67dbbc523e25a8b1,achieve authentication,login,H04,0.25,achieve authentication
262,1a76d7a9dadc8deb,achieve authentication,multi factor authentication,H04,0.5,achieve authentication
263,2ad713aa54d461ba,achieve authentication,signature,H04,0.25,achieve authentication
264,35546bdc044efe91,achieve authentication,target achieved,H04,0.0,achieve authentication
265,ae669f9980698f21,achieve authentication,vehicle verification,H04,0.0,achieve authentication
266,3b4ba853a71438bf,acid absorption,absorbent cotton,B01,0.0,acid absorption
267,5fd6fe279671b601,acid absorption,absorption spectrum,B01,0.0,acid absorption
268,7c0ead66438745af,acid absorption,acid,B01,0.5,acid absorption
269,fce069a07304db12,acid absorption,acid absorption column,B01,0.5,acid absorption
270,0885d130fd9d50a4,acid absorption,acid absorption tower,B01,0.5,acid absorption
271,3ad51d1654fa78aa,acid absorption,acid digestion,B01,0.75,acid absorption
272,197377910826e9a0,acid absorption,acid distillation,B01,0.25,acid absorption
273,5613325cb8a57bc8,acid absorption,acid recovery,B01,0.5,acid absorption
274,3eaee93303a76295,acid absorption,acid stripping,B01,0.5,acid absorption
275,c133361db6dde71d,acid absorption,acid wash,B01,0.25,acid absorption
276,8a2f7a09c36e7f27,acid absorption,acid wash distillation,B01,0.25,acid absorption
277,4dd4b29c517ce25b,acid absorption,acid water distillation,B01,0.25,acid absorption
278,0a5c9cab09de9020,acid absorption,acid water wash,B01,0.25,acid absorption
279,f6e67f136fb163a3,acid absorption,acrylic acid absorption,B01,0.5,acid absorption
280,6f3b2f2804c199b4,acid absorption,amino acids,B01,0.25,acid absorption
281,94cd797823f9191a,acid absorption,catalytic hydrogenation,B01,0.25,acid absorption
282,6312f42d8f1c37b3,acid absorption,catalytic oxidation,B01,0.25,acid absorption
283,fc63c89be37a059c,acid absorption,chemical analysis,B01,0.25,acid absorption
284,62a99710bc868d0b,acid absorption,chemical inhibition,B01,0.25,acid absorption
285,6c895aabbc9d825a,acid absorption,h2so4 absorption,B01,0.5,acid absorption
286,a6cc840343fda298,acid absorption,hydro catalytic hydrogenation,B01,0.25,acid absorption
287,571e7d26da0b0ccd,acid absorption,hydro catalytic oxidation,B01,0.25,acid absorption
288,61afb3b881ba6c9b,acid absorption,hydrochloric acid absorption,B01,0.5,acid absorption
289,67a024b4eb4393f1,acid absorption,hydroformylation,B01,0.25,acid absorption
290,d78ec0c053366b48,acid absorption,hydrogenation,B01,0.25,acid absorption
291,a9d797d846588bd9,acid absorption,hydroxycarboxylicacid absorption,B01,0.5,acid absorption
292,40c303263680ce7f,acid absorption,membrane catalytic hydrogenation,B01,0.25,acid absorption
293,e9a68b29140ca25f,acid absorption,membrane catalytic oxidation,B01,0.25,acid absorption
294,1ec8a21f478ae0f1,acid absorption,membrane hydrogenation,B01,0.25,acid absorption
295,9bf4385b1b63006a,acid absorption,membrane oxidation,B01,0.25,acid absorption
296,ec77ccb538cc139a,acid absorption,near infrared ray absorption,B01,0.0,acid absorption
297,2404594ff2ed4ecb,acid absorption,nitric acid absorption,B01,0.5,acid absorption
298,d52e638b3c4c9c1e,acid absorption,oxidation,B01,0.25,acid absorption
299,89e3573a4d5f2fc2,acid absorption,oxidative hydrogenation,B01,0.25,acid absorption
300,aa8d8bfa1765e3e2,acid absorption,oxide,B01,0.25,acid absorption
301,dd2b26cf17fb74ea,acid absorption,oxide distillation,B01,0.25,acid absorption
302,e045ed5f662fe98c,acid absorption,oxide recovery,B01,0.25,acid absorption
303,6c3036760f90c39c,acid absorption,oxide stripping,B01,0.25,acid absorption
304,940cc037b242d2da,acid absorption,oxide wash,B01,0.25,acid absorption
305,0d8d700c7a3532f1,acid absorption,photon absorption,B01,0.0,acid absorption
306,bc5e0b5cc383448c,acid absorption,photosynthesis,B01,0.0,acid absorption
307,a7aff614211f90d7,acid absorption,phytic acid,B01,0.25,acid absorption
308,f798712a28d6660b,acid absorption,rosmarinic acid,B01,0.25,acid absorption
309,311b7cc6e1bc6c14,acid absorption,sulfuric acid,B01,0.25,acid absorption
310,679f5c4ab8fa0c47,acid absorption,transdermal absorption,B01,0.0,acid absorption
311,e955700dffd68624,acid absorption,absorption of acid,B08,1.0,acid absorption
312,c9c438a56243d1af,acid absorption,absorption of carbohydrates,B08,0.0,acid absorption
313,7ce9dd8327d5cce1,acid absorption,absorption tower,B08,0.25,acid absorption
314,1a8e9c58ee5e34ca,acid absorption,acid,B08,0.5,acid absorption
315,3a09aba546aac675,acid absorption,acid absorption,B08,1.0,acid absorption
316,ec4fab7c9b9bd303,acid absorption,acid adsorption,B08,0.25,acid absorption
317,9afe664508a7baf0,acid absorption,acid distillation,B08,0.25,acid absorption
318,34444e60e67a87e5,acid absorption,acid exchange,B08,0.25,acid absorption
319,14d69f3548d36186,acid absorption,acid gas distillation,B08,0.25,acid absorption
320,a4ac7b3741cb5980,acid absorption,acid gas exchange,B08,0.25,acid absorption
321,d561ddf728f88157,acid absorption,acid gas scrubbing,B08,0.25,acid absorption
322,9517cc6e239e319d,acid absorption,acid immersion,B08,0.75,acid absorption
323,9d9930c089943b9c,acid absorption,acid indigestion,B08,0.0,acid absorption
324,57ce3adc96d82fca,acid absorption,acid oxide distillation,B08,0.25,acid absorption
325,11bb11d822dc391e,acid absorption,acid oxide scrubbing,B08,0.25,acid absorption
326,0956aa30948f0755,acid absorption,acid purification,B08,0.25,acid absorption
327,de645e182bf2ef1c,acid absorption,acid rain,B08,0.0,acid absorption
328,3e012c773242affa,acid absorption,acid reflux,B08,0.0,acid absorption
329,390417e5c0161bbc,acid absorption,acid scrubbing,B08,0.25,acid absorption
330,58677c3403b7867c,acid absorption,acid water,B08,0.5,acid absorption
331,f5e6c93ffe34fff2,acid absorption,acid water distillation,B08,0.25,acid absorption
332,4e09b687bfafe30c,acid absorption,acid water exchange,B08,0.25,acid absorption
333,f63c2e1e537e8a44,acid absorption,acidic foods,B08,0.0,acid absorption
334,5f744aa51da08828,acid absorption,acidic immersion,B08,0.75,acid absorption
335,c49dad6b7b652370,acid absorption,amino acid absorption,B08,0.5,acid absorption
336,dd63f0d530d1a597,acid absorption,chemical absorption,B08,0.5,acid absorption
337,6b94d69939983587,acid absorption,chemically soaked,B08,0.25,acid absorption
338,39e7a72e21b2701c,acid absorption,fertilizer absorption,B08,0.5,acid absorption
339,87e9e1b7523c7915,acid absorption,hcl acid absorption,B08,0.5,acid absorption
340,a2cf5cace208d214,acid absorption,multi section connection pipe,B08,0.25,acid absorption
341,6bfe4f3295caaa68,acid absorption,oxide,B08,0.25,acid absorption
342,6265e716b9e52c8e,acid absorption,oxide acid distillation,B08,0.25,acid absorption
343,3c28d1c686f44f23,acid absorption,oxide acid exchange,B08,0.25,acid absorption
344,55816671cd61e343,acid absorption,oxide distillation,B08,0.25,acid absorption
345,3e6bb01944e2d139,acid absorption,oxide exchange,B08,0.25,acid absorption
346,781af4b26cf52346,acid absorption,oxide gas distillation,B08,0.25,acid absorption
347,67ee8857bc1aba94,acid absorption,oxide gas exchange,B08,0.25,acid absorption
348,dc1b5a41da00fb12,acid absorption,oxide gas scrubbing,B08,0.25,acid absorption
349,d02d224b8958fdbe,acid absorption,oxide purification,B08,0.25,acid absorption
350,6c058949ceca4857,acid absorption,oxide scrubbing,B08,0.25,acid absorption
351,46173840ad8a4ff8,acid absorption,oxide water,B08,0.25,acid absorption
352,e8fdef46db333a1a,acid absorption,oxide water distillation,B08,0.25,acid absorption
353,07a3358b92400793,acid absorption,oxide water exchange,B08,0.25,acid absorption
354,adaa71de2e893bbb,acid absorption,soil water absorption,B08,0.0,acid absorption
355,73a2f0b016fa700f,acid absorption,spray washing bottle body,B08,0.25,acid absorption
356,bbcfc92543e58f1e,acid absorption,steel structural member cleaning maintenance device,B08,0.25,acid absorption
357,989ba1e96412f2e6,ack,acknowledgement,G04,0.75,ack
358,0b69675568e7564b,ack,communication protocol,G04,0.25,ack
359,23090ec49265de76,ack,data,G04,0.5,ack
360,753de89863b03020,ack,data network,G04,0.25,ack
361,b4c9ef7b355bf1f0,ack,data networks,G04,0.25,ack
362,c43922c93168280d,ack,flad holder pole,G04,0.0,ack
363,2c875aea7a58aa3a,ack,flag,G04,0.5,ack
364,7f84f16356836f3c,ack,flag hoist,G04,0.0,ack
365,b0a1ada01c297a74,ack,frame,G04,0.5,ack
366,c5dc2dc55b392031,ack,header,G04,0.25,ack
367,cfa3fc016dbc08d2,ack,indications of cystoscopy,G04,0.0,ack
